1. táblázat
Dátum;Waikiki pénzkibocsátás (WUD);Waikiki pénzkibocsátás (USD);Waikiki pénzmennyiség (WUD);Waikiki pénzmennyiség (USD);USA pénzmennyiség (USD);USA pénzkibocsátás (USD);WNB betét alapkamat;FED betét alapkamat;Waikiki 5 éves hitel alapkamat;USA 5 éves hitel alapkamat;Waikiki hitel - betét;USA hitel - betét
2023. május;0 milliárd WUD;0 milliárd USD;8 887 milliárd WUD;22 953 milliárd USD;20 829 milliárd USD;97 milliárd USD;2,00%;5,27%;4,45%;4,71%;2,45%;-0,56%
2023. június;1 milliárd WUD;2 milliárd USD;8 888 milliárd WUD;22 162 milliárd USD;20 816 milliárd USD;-13 milliárd USD;2,00%;5,42%;4,50%;4,98%;2,50%;-0,44%
2023. július;3 milliárd WUD;7 milliárd USD;8 891 milliárd WUD;21 823 milliárd USD;20 789 milliárd USD;-27 milliárd USD;1,85%;5,53%;4,50%;5,07%;2,65%;-0,46%
2023. augusztus;2 milliárd WUD;5 milliárd USD;8 893 milliárd WUD;22 004 milliárd USD;20 763 milliárd USD;-26 milliárd USD;1,75%;5,54%;4,60%;5,23%;2,85%;-0,31%
2023. szeptember;1 milliárd WUD;3 milliárd USD;8 894 milliárd WUD;22 859 milliárd USD;20 710 milliárd USD;-53 milliárd USD;1,75%;5,51%;4,65%;5,40%;2,90%;-0,11%
2023. október;0 milliárd WUD;0 milliárd USD;8 894 milliárd WUD;23 377 milliárd USD;20 699 milliárd USD;-11 milliárd USD;1,50%;5,57%;4,70%;5,76%;3,20%;0,19%
2023. november;0 milliárd WUD;0 milliárd USD;8 894 milliárd WUD;23 295 milliárd USD;20 725 milliárd USD;26 milliárd USD;1,50%;5,44%;4,60%;5,40%;3,10%;-0,04%
2023. december;1 milliárd WUD;3 milliárd USD;8 895 milliárd WUD;23 110 milliárd USD;20 786 milliárd USD;61 milliárd USD;1,50%;5,34%;4,50%;4,81%;3,00%;-0,53%
2024;0 milliárd WUD;0 milliárd USD;8 895 milliárd WUD;23 632 milliárd USD;20 790 milliárd USD;4 milliárd USD;1,00%;5,21%;4,20%;4,77%;3,20%;-0,44%
2024. február;2 milliárd WUD;5 milliárd USD;8 897 milliárd WUD;23 055 milliárd USD;20 784 milliárd USD;-7 milliárd USD;1,00%;5,28%;4,10%;4,82%;3,10%;-0,46%
2024. március;1 milliárd WUD;2 milliárd USD;8 898 milliárd WUD;21 840 milliárd USD;;-20 784 milliárd USD;1,00%;5,36%;4,00%;4,80%;3,00%;-0,56%
2024. április;1 milliárd WUD;3 milliárd USD;8 899 milliárd WUD;22 622 milliárd USD;;0 milliárd USD;1,00%;;;;-1,00%;0,00%
2024. május;;0 milliárd USD;8 899 milliárd WUD;22 486 milliárd USD;;0 milliárd USD;1,00%;;;;-1,00%;0,00%
2024. június;;0 milliárd USD;8 899 milliárd WUD;22 448 milliárd USD;;0 milliárd USD;1,00%;;;;-1,00%;0,00%
2024. július;;0 milliárd USD;8 899 milliárd WUD;22 635 milliárd USD;;0 milliárd USD;1,00%;;;;-1,00%;0,00%
